,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
2791,1.0,Premium,D,SI1,59.2,62.0,6.54,6.49,3.86,5984
2792,0.33,Ideal,E,VS2,61.5,57.0,4.41,4.47,2.73,568
2793,1.2,Very Good,I,VS1,62.6,59.0,6.69,6.73,4.2,7240
2794,1.21,Premium,G,VS1,62.7,58.0,6.76,6.85,4.27,8304
2795,0.42,Ideal,E,VVS2,62.3,55.0,4.81,4.76,2.98,2116
2796,0.31,Good,G,VS1,63.2,56.0,4.28,4.29,2.71,80
2797,1.01,Premium,D,VVS2,62.4,58.0,6.44,6.39,4.0,7472
2798,0.99,Fair,J,I1,73.6,60.0,6.01,5.8,4.35,-888
2799,1.07,Premium,H,VS2,60.6,60.0,6.66,6.63,4.03,6272
2800,0.92,Premium,F,SI2,61.8,58.0,6.19,6.23,3.84,4004
2801,1.04,Very Good,G,VVS2,62.8,54.0,6.39,6.5,4.05,7196
2802,0.3,Premium,G,VVS1,62.6,58.0,4.27,4.29,2.68,756
2803,0.62,Very Good,D,VVS2,58.1,63.0,5.59,5.66,3.27,3968
2804,0.7,Ideal,F,SI2,62.1,57.0,5.65,5.69,3.52,2164
2805,1.0,Premium,G,SI2,60.7,59.0,6.45,6.41,3.9,4524
2806,1.03,Ideal,G,SI1,60.8,57.0,6.52,6.47,3.95,5864
2807,0.71,Ideal,G,VVS1,61.1,57.0,5.76,5.8,3.53,4516
2808,0.3,Ideal,H,VVS1,62.5,53.8,4.31,4.33,2.69,396
2809,0.4,Good,I,VS1,63.8,55.0,4.69,4.65,2.98,-60
2810,0.5,Good,E,VS2,64.1,58.0,5.03,5.01,3.22,1744
2811,0.26,Very Good,E,VVS2,62.9,56.0,4.07,4.1,2.57,548
2812,0.33,Very Good,G,VS2,62.1,56.0,4.41,4.44,2.75,136
2813,0.4,Ideal,D,VVS2,62.2,55.0,4.74,4.72,2.94,2164
2814,0.53,Very Good,E,SI1,63.0,55.0,5.14,5.18,3.25,1552
2815,0.7,Very Good,F,SI1,62.3,57.0,5.65,5.69,3.53,2968
2816,0.36,Ideal,E,VS2,61.9,56.0,4.55,4.56,2.82,840
2817,0.48,Premium,E,SI2,62.9,60.0,4.93,4.9,3.09,184
2818,0.72,Ideal,D,SI1,60.5,56.0,5.79,5.84,3.52,3612
2819,0.51,Very Good,F,VS2,58.6,58.0,5.22,5.29,3.08,1924
2820,0.26,Ideal,G,VS1,62.5,53.0,4.1,4.13,2.57,-24
2821,1.0,Good,F,I1,64.2,59.0,6.26,6.3,4.03,1884
2822,0.26,Ideal,F,IF,62.0,56.0,4.07,4.1,2.53,1032
2823,0.32,Ideal,G,VVS1,60.2,56.0,4.45,4.49,2.69,1052
2824,0.79,Premium,G,VS1,61.3,59.0,5.97,5.91,3.64,4572
2825,1.07,Ideal,H,VS2,62.1,57.0,6.53,6.49,4.04,6388
2826,0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,4140
2827,2.35,Premium,J,VS1,60.7,60.0,8.64,8.6,5.23,16604
2828,1.11,Ideal,I,VS1,63.0,56.0,6.61,6.57,4.15,6592
2829,0.36,Good,E,VVS1,58.2,56.0,4.68,4.74,2.74,1348
2830,0.3,Good,F,VVS1,61.1,61.0,4.29,4.32,2.63,724
2831,0.53,Ideal,G,VS1,61.8,55.0,5.17,5.22,3.21,2376
2832,0.79,Premium,J,SI1,58.8,62.0,6.03,6.01,3.54,1780
2833,0.33,Premium,D,SI2,61.6,59.0,4.42,4.41,2.72,-928
2834,1.36,Premium,I,VS1,62.0,59.0,7.1,7.06,4.39,8696
2835,1.03,Very Good,H,SI2,60.9,57.0,6.5,6.58,3.98,4276
2836,0.42,Premium,G,VVS1,59.8,58.0,4.88,4.85,2.91,1820
2837,0.32,Ideal,H,VVS1,61.6,54.0,4.42,4.45,2.73,572
2838,0.56,Ideal,E,VS1,61.8,56.0,5.28,5.33,3.28,2924
2839,0.34,Premium,G,VVS1,59.0,62.0,4.6,4.56,2.7,1116
2840,0.5,Very Good,D,VS1,59.8,58.0,5.12,5.14,3.07,2460
2841,3.11,Fair,J,I1,65.9,57.0,9.15,9.02,5.98,17960
2842,0.56,Ideal,D,VS2,60.9,56.0,5.35,5.32,3.25,2840
2843,0.3,Ideal,E,VVS1,60.6,57.0,4.33,4.35,2.63,1156
2844,0.37,Ideal,E,VS1,61.6,54.7,4.61,4.63,2.85,1236
2845,0.53,Ideal,G,VS2,61.6,56.0,5.24,5.19,3.21,2068
2846,1.6,Very Good,D,SI2,60.6,58.0,7.55,7.61,4.59,10328
2847,0.31,Ideal,D,SI1,62.1,56.0,4.33,4.37,2.7,-32
2848,1.54,Very Good,J,VS1,63.5,57.0,7.27,7.37,4.65,9364
2849,0.33,Very Good,G,VVS2,62.8,57.0,4.39,4.47,2.78,884
2850,0.31,Good,H,VS2,63.5,57.0,4.32,4.34,2.75,-708
2851,0.71,Premium,G,SI1,58.5,58.0,5.87,5.82,3.42,2904
2852,1.01,Premium,F,SI2,61.1,57.0,6.48,6.44,3.95,4804
2853,0.3,Ideal,F,VVS1,61.9,58.0,4.26,4.3,2.65,1060
2854,1.31,Ideal,H,VS1,62.5,56.0,6.95,7.03,4.37,8828
2855,0.71,Ideal,I,VS2,61.6,57.0,5.7,5.62,3.49,2728
2856,0.41,Ideal,D,SI1,61.6,55.0,4.8,4.78,2.95,856
2857,1.0,Premium,F,VS1,62.6,58.0,6.37,6.4,4.0,6624
2858,1.07,Ideal,D,VS1,61.8,57.0,6.55,6.58,4.06,7680
2859,0.52,Premium,G,VS1,62.6,59.0,5.08,5.11,3.19,2172
2860,1.05,Ideal,G,VS2,62.8,57.0,6.49,6.45,4.06,6688
2861,0.33,Ideal,D,VVS2,61.7,55.0,4.46,4.49,2.76,1540
2862,1.5,Very Good,F,SI2,62.3,60.0,7.29,7.34,4.56,9124
2863,0.41,Ideal,H,SI2,61.7,56.0,4.8,4.77,2.95,-1084
2864,0.71,Very Good,F,VS1,62.9,55.0,5.68,5.71,3.58,4012
2865,0.5,Good,D,SI1,63.8,60.0,5.0,5.03,3.2,1316
2866,1.01,Very Good,D,VS2,63.1,60.0,6.39,6.35,4.02,6688
2867,1.71,Good,H,VS2,63.7,58.0,7.57,7.54,4.81,11736
2868,0.4,Ideal,F,VVS1,62.2,56.0,4.71,4.74,2.94,1948
2869,0.32,Very Good,G,VS1,61.7,55.0,4.37,4.41,2.71,356
2870,0.5,Very Good,E,SI1,60.7,61.0,5.09,5.12,3.1,1284
2871,1.02,Fair,F,SI2,65.5,59.0,6.27,6.24,4.1,4008
2872,1.05,Very Good,G,SI2,62.5,60.0,6.45,6.5,4.05,4932
2873,1.36,Premium,E,VVS2,59.8,59.0,7.12,7.2,4.38,10356
2874,0.51,Ideal,E,SI1,62.3,56.0,5.15,5.12,3.2,1520
2875,1.2,Premium,H,SI2,62.4,57.0,6.83,6.75,4.24,5824
2876,0.72,Ideal,F,VS1,62.0,56.0,5.76,5.73,3.56,4252
2877,0.49,Very Good,F,VVS1,62.2,56.0,5.04,5.08,3.14,2596
2878,0.36,Premium,H,SI1,61.3,57.0,4.65,4.61,2.84,-688
2879,0.7,Premium,D,SI1,62.1,62.0,5.63,5.58,3.48,3320
2880,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73,3916
2881,0.32,Premium,G,VVS1,58.1,59.0,4.53,4.49,2.62,932
2882,2.0,Very Good,G,SI2,63.5,55.0,8.03,7.93,5.07,13380
2883,0.9,Good,F,SI2,63.3,57.0,6.08,6.14,3.87,3600
2884,1.18,Ideal,E,SI2,60.9,57.0,6.86,6.89,4.19,6524
2885,0.36,Ideal,E,VS1,61.8,56.0,4.55,4.58,2.82,1148
2886,0.37,Ideal,F,VVS2,60.0,59.0,4.64,4.66,2.79,1580
2887,0.3,Ideal,F,SI1,62.4,56.0,4.27,4.32,2.68,-436
2888,0.36,Premium,F,VS2,60.5,60.0,4.55,4.61,2.77,628
2889,0.8,Premium,J,SI2,60.2,59.0,6.07,5.95,3.62,912
2890,1.51,Ideal,H,SI1,61.9,57.0,7.37,7.32,4.55,9652
2891,0.62,Very Good,F,VS2,59.8,58.0,5.55,5.59,3.33,2904
2892,0.71,Premium,H,SI1,62.4,59.0,5.65,5.6,3.51,2424
2893,0.32,Good,G,VS1,57.0,62.0,4.51,4.54,2.58,168
2894,1.02,Ideal,G,VS2,62.8,57.0,6.36,6.45,4.02,6424
2895,0.41,Premium,H,VS1,62.0,56.0,4.78,4.74,2.95,712
2896,1.14,Ideal,G,VS2,62.0,55.0,6.68,6.77,4.17,7492
2897,0.52,Premium,G,SI1,60.6,61.0,5.19,5.17,3.14,1216
2898,1.0,Good,H,SI1,62.7,60.0,6.24,6.3,3.93,4776
2899,0.56,Very Good,E,SI1,60.2,57.0,5.36,5.4,3.24,1820
2900,0.32,Premium,G,SI1,61.0,61.0,4.41,4.38,2.68,-564
2901,0.37,Ideal,D,VVS2,61.6,54.0,4.61,4.64,2.85,1896
2902,0.9,Good,G,SI1,63.2,59.0,6.05,6.1,3.84,4368
2903,1.01,Ideal,G,SI1,61.1,58.0,6.43,6.49,3.95,5688
2904,1.03,Ideal,J,SI1,62.3,57.0,6.48,6.43,4.02,4028
2905,0.78,Premium,G,SI2,60.6,58.0,6.02,5.99,3.64,2568
2906,0.33,Ideal,G,VS1,61.6,57.0,4.46,4.49,2.75,596
2907,0.33,Ideal,H,VVS2,61.3,56.0,4.43,4.47,2.73,556
2908,1.09,Ideal,H,SI1,61.9,57.0,6.63,6.58,4.09,5916
2909,0.5,Good,J,SI1,63.3,60.0,4.97,4.99,3.15,-1020
2910,1.01,Ideal,J,VS2,61.3,56.0,6.46,6.5,3.97,4500
2911,1.0,Very Good,E,VVS2,63.5,55.0,6.36,6.31,4.02,7124
2912,0.59,Premium,E,SI2,60.8,56.0,5.43,5.4,3.29,1160
2913,0.7,Very Good,H,SI2,59.9,57.0,5.74,5.77,3.45,1344
2914,0.31,Premium,I,SI1,61.3,58.0,4.34,4.37,2.67,-1592
2915,0.39,Premium,E,VS2,62.5,60.0,4.64,4.67,2.91,988
2916,0.85,Ideal,E,SI1,61.8,54.0,6.1,6.14,3.78,4544
2917,0.73,Ideal,I,VVS2,62.3,55.0,5.76,5.77,3.59,3652
2918,1.09,Ideal,J,SI1,60.7,58.0,6.64,6.68,4.04,4564
2919,0.4,Ideal,D,SI2,61.3,56.0,4.72,4.77,2.91,-188
2920,0.4,Very Good,E,SI1,61.7,60.0,4.68,4.72,2.9,396
2921,0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,-1408
2922,0.31,Premium,E,VS2,60.3,58.0,4.42,4.37,2.65,276
2923,1.19,Ideal,J,SI2,61.7,56.0,6.8,6.85,4.21,4496
2924,1.06,Fair,I,I1,64.5,57.0,6.47,6.33,4.13,632
2925,0.61,Very Good,E,VS1,59.6,63.0,5.44,5.57,3.28,3220
2926,0.82,Ideal,H,VVS2,61.4,56.0,6.01,6.05,3.71,4912
2927,1.01,Fair,G,I1,64.5,56.0,6.32,6.26,4.06,1128
2928,0.32,Ideal,E,VS2,61.4,56.0,4.4,4.43,2.71,480
2929,0.5,Premium,D,SI2,62.2,58.0,5.08,5.14,3.18,584
2930,1.01,Premium,F,SI1,59.1,56.0,6.65,6.52,3.89,5760
2931,1.0,Very Good,F,SI2,62.7,58.0,6.3,6.36,3.97,4676
2932,0.31,Ideal,D,SI1,62.9,56.0,4.34,4.31,2.72,-32
2933,0.35,Ideal,E,VS2,62.4,57.0,4.52,4.55,2.83,752
2934,0.7,Ideal,H,VS2,61.2,57.0,5.73,5.77,3.52,3100
2935,1.08,Ideal,G,SI2,62.2,56.0,6.56,6.59,4.09,5352
2936,1.21,Premium,D,VVS1,60.1,59.0,6.96,6.88,4.16,9348
2937,1.06,Premium,H,SI1,62.8,58.0,6.49,6.47,4.07,5536
2938,0.28,Ideal,I,VS2,62.4,56.0,4.19,4.22,2.62,-1096
2939,0.5,Good,F,VS2,63.3,57.0,5.02,5.06,3.19,1648
2940,1.01,Premium,D,SI1,61.6,58.0,6.47,6.42,3.97,6076
2941,0.42,Fair,D,SI1,64.7,61.0,4.7,4.73,3.05,-56
2942,1.53,Ideal,F,SI1,61.6,56.0,7.34,7.39,4.54,10496
2943,0.57,Premium,E,VS2,63.0,59.0,5.29,5.25,3.32,2588
2944,0.41,Premium,D,VVS2,61.9,59.0,4.78,4.75,2.95,2136
2945,2.24,Ideal,F,SI2,60.3,59.0,8.47,8.5,5.12,15852
2946,0.41,Good,E,SI2,63.8,57.0,4.75,4.68,3.01,-660
2947,0.5,Very Good,G,SI1,62.4,52.0,5.1,5.15,3.2,1000
2948,0.23,Very Good,F,VS2,59.1,59.0,4.02,4.07,2.39,-564
2949,1.11,Very Good,F,SI1,60.1,61.0,6.64,6.74,4.06,6612
2950,1.2,Ideal,E,SI2,61.3,56.0,6.85,6.88,4.21,6700
2951,1.14,Premium,F,VVS1,59.4,59.0,6.87,6.8,4.06,8412
2952,0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,3752
2953,1.22,Premium,G,VS1,62.2,59.0,6.82,6.87,4.26,8392
2954,0.7,Premium,F,VS1,61.7,60.0,5.67,5.64,3.49,3960
2955,1.07,Premium,I,SI1,58.4,60.0,6.78,6.68,3.93,5164
2956,0.51,Very Good,E,SI2,63.3,56.0,5.12,5.08,3.23,416
2957,0.3,Premium,E,SI1,62.5,60.0,4.24,4.27,2.66,-460
2958,1.12,Premium,G,SI2,61.2,58.0,6.69,6.67,4.09,5592
2959,0.3,Premium,F,VS2,61.5,60.0,4.26,4.29,2.63,96
2960,0.4,Premium,D,SI1,61.6,58.0,4.73,4.69,2.9,652
2961,0.9,Premium,I,SI1,63.0,58.0,6.09,6.01,3.81,3652
2962,0.3,Ideal,H,VS1,61.6,57.0,4.3,4.33,2.66,-148
2963,0.74,Premium,F,SI2,61.4,57.0,5.82,5.8,3.57,2404
2964,0.41,Very Good,J,VS2,63.4,56.0,4.73,4.7,2.99,-988
2965,0.52,Premium,E,SI1,61.6,58.0,5.17,5.12,3.17,1496
2966,0.54,Ideal,D,VVS2,61.4,52.0,5.3,5.34,3.26,3408
2967,0.9,Very Good,H,SI2,61.2,57.0,6.21,6.27,3.82,3120
2968,0.7,Good,I,VS1,61.1,61.0,5.65,5.7,3.47,2608
2969,0.34,Very Good,H,VS2,62.4,60.0,4.41,4.44,2.76,-252
2970,0.7,Ideal,F,VS2,61.9,55.0,5.7,5.74,3.54,3768
2971,1.02,Very Good,G,VS2,63.0,57.0,6.37,6.39,4.02,6272
2972,1.0,Good,F,SI2,63.8,58.0,6.28,6.33,4.02,4488
2973,0.31,Ideal,I,SI2,61.0,56.0,4.39,4.43,2.69,-2432
2974,1.23,Premium,G,VS1,62.2,58.0,6.78,6.74,4.27,8484
2975,0.7,Very Good,E,SI1,59.4,63.0,5.79,5.73,3.42,3064
2976,0.54,Ideal,D,VS2,61.1,57.0,5.25,5.22,3.2,2660
2977,0.38,Ideal,H,SI1,61.5,56.0,4.67,4.69,2.88,-392
2978,0.9,Fair,E,SI2,65.0,58.0,6.08,6.04,3.94,3036
2979,1.0,Ideal,D,SI2,61.5,56.0,6.45,6.41,3.95,5144
2980,0.29,Very Good,G,VS2,61.9,55.0,4.25,4.28,2.64,-220
2981,2.01,Premium,E,SI1,60.4,61.0,8.05,7.98,4.84,14740
2982,1.32,Premium,F,SI2,60.6,60.0,7.1,7.05,4.29,7560
2983,0.72,Premium,F,VS2,61.5,58.0,5.73,5.69,3.51,3828
2984,0.31,Premium,H,VS2,62.4,59.0,4.34,4.31,2.7,-484
2985,1.51,Fair,J,SI2,65.1,59.0,7.13,7.09,4.63,6340
2986,0.24,Ideal,H,IF,62.1,57.0,4.0,4.04,2.5,184
2987,0.79,Ideal,E,VS2,59.3,57.0,6.02,6.06,3.58,4664
2988,0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59,3916
2989,0.9,Very Good,D,VS1,58.9,59.0,6.22,6.31,3.69,6016
2990,0.51,Premium,F,VVS2,61.9,56.0,5.17,5.13,3.19,2708
2991,0.29,Ideal,G,VVS2,60.7,54.0,4.33,4.37,2.64,680
2992,0.68,Good,F,SI1,58.1,60.0,5.8,5.91,3.4,2600
2993,0.51,Ideal,D,VS2,61.1,56.0,5.16,5.2,3.17,2392
2994,1.55,Ideal,I,VS2,61.8,55.0,7.4,7.44,4.58,10196
2995,1.51,Very Good,H,SI2,60.8,58.0,7.4,7.51,4.53,8544
2996,2.01,Ideal,I,SI1,62.9,57.0,8.05,7.98,5.04,13636
2997,1.04,Very Good,G,VVS1,58.2,60.0,6.66,6.71,3.89,7300
2998,0.98,Fair,G,SI1,64.4,56.0,6.33,6.24,4.03,4420
2999,0.25,Very Good,E,VVS1,62.9,58.0,4.01,4.03,2.53,564
3000,0.42,Ideal,H,VS1,61.2,57.0,4.87,4.8,2.96,916
3001,1.1,Very Good,G,VVS1,60.4,57.0,6.7,6.77,4.07,7836
3002,0.41,Very Good,D,VS1,62.8,57.0,4.73,4.76,2.98,1660
3003,1.02,Premium,F,VS2,62.7,59.0,6.41,6.44,4.03,6496
3004,0.61,Very Good,H,VVS2,60.5,57.0,5.52,5.54,3.35,2896
3005,0.4,Ideal,J,VS1,61.3,56.0,4.77,4.79,2.93,-616
3006,0.34,Ideal,D,VS1,60.9,56.0,4.56,4.51,2.76,1192
3007,0.4,Ideal,E,SI2,61.0,58.0,4.76,4.78,2.91,-412
3008,0.41,Ideal,G,VVS2,61.7,55.0,4.81,4.85,2.98,1748
3009,0.3,Ideal,H,SI1,62.4,55.0,4.3,4.32,2.69,-1104
3010,0.31,Ideal,E,VS1,62.0,55.0,4.35,4.38,2.7,700
3011,0.46,Very Good,E,VS2,62.2,58.0,4.95,4.99,3.09,1576
3012,0.4,Ideal,G,IF,62.2,55.0,4.73,4.76,2.95,2088
3013,0.3,Ideal,E,VS2,61.5,55.0,4.3,4.34,2.66,304
3014,1.09,Ideal,F,SI2,61.2,57.0,6.6,6.64,4.05,5628
3015,0.71,Very Good,E,SI1,63.1,58.0,5.65,5.69,3.58,3152
3016,0.97,Ideal,G,SI2,61.6,56.0,6.31,6.39,3.91,4376
3017,1.02,Very Good,E,IF,61.7,60.0,6.38,6.52,3.98,7732
3018,0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,-128
3019,0.33,Ideal,I,IF,61.8,55.0,4.46,4.47,2.76,524
3020,0.36,Ideal,E,VS1,61.7,56.0,4.58,4.56,2.82,1148
3021,1.72,Ideal,H,SI1,62.2,57.0,7.65,7.55,4.72,11516
3022,0.37,Ideal,H,VVS1,62.0,53.0,4.63,4.66,2.88,1012
3023,0.71,Ideal,D,VS2,61.2,55.0,5.74,5.78,3.53,4172
3024,0.51,Very Good,I,SI1,63.5,60.0,5.03,5.05,3.2,148
3025,0.3,Ideal,E,VS2,62.1,55.0,4.28,4.32,2.67,304
3026,0.71,Very Good,E,VS2,63.7,58.0,5.6,5.64,3.58,3800
3027,0.3,Ideal,E,VS1,61.6,55.0,4.34,4.36,2.68,612
3028,0.97,Good,F,SI1,60.1,65.0,6.46,6.36,3.85,5180
3029,1.27,Ideal,I,SI2,62.1,56.0,6.92,6.96,4.31,6100
3030,1.57,Ideal,I,VS2,61.5,56.0,7.56,7.49,4.63,10372
3031,1.0,Premium,G,VS1,62.4,59.0,6.35,6.4,3.98,6436
3032,0.42,Ideal,D,VVS2,62.5,57.0,4.8,4.77,2.99,2340
3033,0.7,Fair,G,SI1,61.7,66.0,5.7,5.58,3.48,1932
3034,0.56,Ideal,D,VS1,61.6,57.0,5.33,5.29,3.27,3148
3035,0.51,Good,E,SI1,57.4,62.0,5.24,5.29,3.02,1184
3036,0.52,Very Good,I,SI1,63.3,55.0,5.13,5.1,3.24,240
3037,0.39,Premium,G,VVS1,59.9,59.0,4.73,4.75,2.84,1556
3038,1.7,Very Good,H,VS2,63.3,57.0,7.59,7.54,4.79,11836
3039,0.3,Very Good,E,VVS2,59.7,57.0,4.37,4.43,2.62,904
3040,1.08,Ideal,H,SI1,62.7,57.0,6.48,6.51,4.07,5828
3041,2.01,Ideal,F,SI2,61.9,55.0,8.1,8.05,5.0,13808
3042,0.55,Ideal,J,VS2,62.6,57.0,5.21,5.17,3.25,408
3043,0.9,Fair,F,SI2,62.6,58.0,6.01,6.06,3.78,2940
3044,0.9,Ideal,I,VS1,62.4,57.0,6.17,6.21,3.86,4724
3045,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,7156
3046,0.51,Very Good,H,VS2,60.1,59.8,5.14,5.19,3.1,1256
3047,0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42,4052
3048,0.7,Fair,H,SI1,66.0,56.0,5.5,5.53,3.64,1452
3049,0.34,Ideal,I,SI1,60.2,57.0,4.54,4.5,2.72,-1208
3050,0.32,Ideal,G,IF,61.2,55.0,4.41,4.44,2.71,1376
3051,0.31,Ideal,D,VS2,59.4,56.0,4.45,4.4,2.63,616
3052,0.41,Premium,E,SI1,61.4,56.0,4.81,4.77,2.94,516
3053,1.84,Ideal,J,VS1,62.4,56.0,7.84,7.8,4.89,12184
3054,0.9,Very Good,I,VS2,63.2,56.0,6.15,6.09,3.87,4264
3055,1.0,Ideal,E,VS2,61.6,57.0,6.44,6.38,3.95,6528
3056,0.37,Premium,E,SI1,61.8,58.0,4.59,4.64,2.85,160
3057,1.53,Ideal,F,VS1,61.5,59.0,7.38,7.46,4.56,11452
3058,1.09,Ideal,G,VS2,62.8,57.0,6.54,6.58,4.12,7044
3059,1.04,Premium,F,SI2,62.8,55.0,6.48,6.41,4.05,5068
3060,0.8,Very Good,E,SI2,62.6,59.0,5.84,5.91,3.68,2996
3061,0.29,Good,F,VS1,62.1,56.0,4.24,4.26,2.64,88
3062,1.21,Ideal,F,I1,62.0,56.0,6.84,6.8,4.23,4092
3063,2.01,Very Good,J,VS2,61.1,59.0,8.04,8.07,4.92,13236
3064,0.3,Premium,G,VVS2,62.6,58.0,4.27,4.29,2.68,656
3065,1.01,Fair,H,VS2,64.5,60.0,6.3,6.25,4.05,4856
3066,1.61,Ideal,I,VS2,62.5,57.0,7.49,7.43,4.66,10728
3067,1.19,Very Good,D,SI2,61.1,58.0,6.84,6.88,4.19,6684
3068,1.12,Premium,H,VS1,61.6,58.0,6.64,4.11,3.7,7024
3069,1.7,Good,H,SI1,63.9,56.0,7.61,7.53,4.84,11000
3070,0.3,Premium,G,VS1,61.4,60.0,4.33,4.3,2.65,216
3071,1.51,Good,J,SI2,58.1,64.0,7.53,7.57,4.39,7000
3072,1.01,Ideal,F,SI1,62.0,56.0,6.41,6.46,3.99,5876
3073,0.31,Premium,G,VS1,61.2,60.0,4.39,4.37,2.68,304
3074,0.7,Good,F,SI1,58.7,64.0,5.77,5.78,3.39,2780
3075,0.9,Very Good,H,VS1,63.0,62.0,6.09,6.0,3.81,5032
3076,0.71,Ideal,G,VVS2,61.7,57.0,5.72,5.74,3.53,4416
3077,0.34,Good,E,SI2,63.1,56.0,4.46,4.51,2.83,-1284
3078,0.4,Good,E,SI1,64.2,57.0,4.68,4.66,3.0,208
3079,0.34,Ideal,E,VVS2,62.4,55.0,4.47,4.51,2.79,1412
3080,0.31,Very Good,H,SI1,62.3,55.0,4.34,4.36,2.71,-1168
3081,0.5,Ideal,F,SI1,60.2,63.0,5.12,5.15,3.09,1340
3082,0.3,Ideal,G,IF,62.1,55.0,4.32,4.35,2.69,1200
3083,1.33,Ideal,H,SI1,60.1,57.0,7.14,7.2,4.31,8052
3084,1.0,Good,F,IF,63.2,63.0,6.24,6.26,3.95,7268
3085,2.07,Premium,E,SI2,58.9,61.0,8.45,8.35,4.95,14316
3086,0.36,Ideal,D,VS2,61.1,57.0,4.62,4.58,2.81,1060
3087,1.25,Premium,I,VS2,62.2,57.0,6.92,6.84,4.28,7412
3088,1.01,Very Good,G,SI1,60.0,58.0,6.51,6.55,3.92,5536
3089,1.54,Very Good,G,IF,59.4,60.0,7.55,7.61,4.5,12068
3090,0.54,Ideal,H,SI1,61.1,56.0,5.25,5.27,3.21,1028
3091,1.07,Ideal,H,VS2,61.8,56.0,6.52,6.55,4.04,6388
3092,0.25,Ideal,E,VVS2,61.6,57.0,4.08,4.1,2.52,612
3093,0.32,Ideal,D,SI1,59.6,57.0,4.47,4.42,2.65,56
3094,0.35,Very Good,E,VS2,60.2,60.0,4.54,4.57,2.74,600
3095,0.42,Ideal,E,SI1,62.6,57.0,4.81,4.84,3.02,720
3096,1.11,Very Good,H,SI2,59.0,59.0,6.79,6.82,4.02,4988
3097,1.51,Premium,H,SI2,62.3,62.0,7.32,7.21,4.51,8580
3098,1.01,Good,F,VS2,65.2,57.0,6.19,6.23,4.05,6184
3099,0.32,Ideal,H,VVS1,62.0,55.0,4.42,4.45,2.75,572
3100,0.33,Ideal,I,VVS1,62.2,54.0,4.43,4.45,2.76,196
3101,0.28,Ideal,G,IF,61.3,57.0,4.25,4.27,2.6,1020
3102,0.32,Very Good,I,SI2,63.4,56.0,4.37,4.34,2.76,-2496
3103,0.73,Ideal,E,VS1,61.4,55.0,5.8,5.82,3.57,4436
3104,1.02,Premium,F,SI2,63.0,58.0,6.44,6.38,4.04,4892
3105,1.51,Ideal,E,SI2,62.9,57.0,7.29,7.23,4.57,9460
3106,0.26,Very Good,E,VVS1,61.5,56.0,4.1,4.15,2.53,652
3107,0.55,Ideal,I,VVS1,61.7,56.0,5.24,5.29,3.25,2156
3108,0.32,Ideal,G,SI1,61.4,57.0,4.41,4.38,2.7,-448
3109,1.51,Very Good,F,SI1,62.6,57.0,7.25,7.31,4.56,10168
3110,1.73,Premium,F,SI2,63.0,60.0,7.63,7.52,4.77,11204
3111,0.43,Ideal,G,VS1,61.9,55.0,4.86,4.84,3.0,1488
3112,0.43,Very Good,E,VVS2,60.8,57.0,4.89,4.92,2.98,2060
3113,1.0,Premium,D,SI1,61.5,60.0,6.34,6.38,3.91,5984
3114,0.57,Premium,E,SI1,62.5,57.0,5.28,5.22,3.28,1940
3115,1.1,Ideal,E,SI2,61.6,56.0,6.66,6.63,4.09,5812
3116,1.2,Ideal,E,VVS1,60.1,61.0,6.83,6.91,4.13,9156
3117,0.4,Ideal,I,IF,62.2,56.0,4.75,4.71,2.94,1148
3118,0.24,Very Good,E,VVS2,62.9,57.0,3.96,3.99,2.5,368
3119,0.92,Very Good,G,SI1,61.8,54.0,6.25,6.37,3.9,4736
3120,0.27,Very Good,E,VVS1,60.9,59.0,4.17,4.21,2.55,740
3121,0.43,Premium,H,I1,62.0,59.0,4.83,4.78,2.98,-3624
3122,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3160
3123,1.01,Ideal,F,VS2,60.3,56.0,6.56,6.5,3.94,6524
3124,0.97,Premium,F,SI2,59.9,59.0,6.45,6.38,3.84,4448
3125,0.3,Very Good,E,SI1,62.9,56.0,4.24,4.31,2.69,-492
3126,1.53,Very Good,E,VS2,61.2,60.0,7.49,7.4,4.56,11088
3127,0.71,Premium,J,SI1,62.4,61.0,5.68,5.63,3.53,1068
3128,1.0,Premium,D,SI2,60.3,58.0,6.48,6.45,3.9,5028
3129,0.75,Very Good,D,SI1,59.7,62.0,5.89,5.94,3.53,3728
3130,1.04,Ideal,G,VS2,61.6,55.0,6.51,6.55,4.02,6600
3131,0.24,Very Good,F,VVS1,63.5,54.0,3.92,3.96,2.5,372
3132,0.28,Good,H,VVS1,56.0,64.0,4.38,4.41,2.46,-124
3133,1.0,Ideal,H,SI1,61.9,57.0,6.43,6.39,3.97,5116
3134,0.7,Very Good,G,SI1,63.0,59.0,5.64,5.67,3.56,2780
